	0.165625	0.009375	0.65
raining	0.25	0.25	0.0
pizzasweats	0.5	0.0	0.0
-lori	0.0	0.5	0.0
oilersnow	0.0	0.5	0.0
mid-week	0.0	0.0	1.0
beerandtacos	0.5	0.0	0.0
k_pease	0.0	0.0	1.0
galactica	0.5	0.0	0.0
yellow	0.5	0.0	0.0
shouldbegood	0.5	0.0	0.0
canada-	0.0	0.0	1.0
woods	0.09375	0.0625	0.6875
wwfc	0.25	0.25	0.0
cancels	0.0	0.0	1.0
friend's	0.0	0.5	0.0
francesco	0.0	0.5	0.0
kpoptv	0.0	0.0	1.0
woody	0.5	0.0	0.0
truefact	0.0	0.0	1.0
cyprus	0.0	0.0	1.0
aggression	0.0	0.5	0.0
marching	0.34375	0.0625	0.1875
betstylelounge	0.5	0.0	0.0
giruaro	0.5	0.0	0.0
canes	0.0	0.0	1.0
27-10	0.0	0.0	1.0
cava	0.5	0.0	0.0
27-12	0.5	0.0	0.0
zinsernyt	0.0	0.5	0.0
snowing	0.5	0.0	0.0
shating	0.5	0.0	0.0
14kt	0.0	0.5	0.0
o0touch0o	0.0	0.5	0.0
dennisdmz	0.5	0.0	0.0
pastorshaemun	0.5	0.0	0.0
23-17	0.5	0.0	0.0
raiders_spurs	0.0	0.5	0.0
unnecessarily	0.1875	0.0	1.0
rickman	0.142857142857	0.0714285714286	0.571428571429
lord	0.142857142857	0.142857142857	0.428571428571
matt_edmeades	0.5	0.0	0.0
maxy	0.0	0.5	0.0
schalke	0.5	0.0	0.0
2012/afr	0.0	0.0	1.0
protestants	0.0	0.5	0.0
digit	0.0	0.5	0.0
update-	0.5	0.0	0.0
breeders	0.0	0.0	1.0
flower	0.25	0.0	0.5
animalrights	0.0	0.0	1.0
x-men	0.25	0.0	0.5
:ddd	0.5	0.0	0.0
knife	0.0	0.0	1.0
manutd720	0.0	0.0	1.0
foul	0.1	0.775	0.0
taj	0.5	0.0	0.0
seximexi44	0.0	0.0	1.0
colfax	0.0	0.0	1.0
bringing	0.166666666667	0.0	0.666666666667
luau	0.0	0.0	1.0
comeseeme	0.5	0.0	0.0
basics	0.0	0.0	1.0
lufbrarugby	0.0	0.0	1.0
prize	0.333333333333	0.0	0.333333333333
goint	0.0	0.0	1.0
hordern	0.0	0.0	1.0
all_bangla_news	0.0	0.0	1.0
wednesday	0.153333333333	0.0733333333333	0.546666666667
ho_two_ts	0.0	0.0	1.0
solid	0.285714285714	0.0	0.428571428571
hague	0.0	0.0	1.0
oooh	0.333333333333	0.0833333333333	0.166666666667
elmbridge	0.5	0.0	0.0
amandawanxo	0.142857142857	0.0	0.714285714286
commented	0.0	0.0	1.0
visiting	0.25	0.25	0.0
tired	0.0833333333333	0.25	0.333333333333
miller	0.5	0.0	0.0
hanging	0.25	0.0	0.5
bacon	0.0625	0.0	1.0
story-wise	0.0	0.0	1.0
pulse	0.222222222222	0.0	0.555555555556
elections	0.0	0.214285714286	0.571428571429
consists	0.0625	0.0	1.0
nms	0.0	0.0	1.0
manner	0.25	0.0	0.5
tressayeomans	0.0	0.0	1.0
devildriver	0.0	0.0	1.0
loathing	0.0	0.6875	0.0
mahesha13	0.0	0.0	1.0
theory	0.25	0.0	0.5
sesame	0.0	0.0	1.0
felliiisha	0.5	0.0	0.0
dudwithnozah	0.0	0.5	0.0
t-minus	0.0	0.0	1.0
roddy	0.0	0.0	1.0
tristan_jet	0.0	0.5	0.0
thunder	0.1	0.2	0.4
boogie	0.0	0.0	1.0
hp	0.0	0.0	1.0
fingers	0.5	0.0	0.0
yea-	0.0	0.0	1.0
coolcat1304	0.5	0.0	0.0
mzhemingway	0.5	0.0	0.0
naranjos	0.5	0.0	0.0
thown	0.0	0.5	0.0
increasing	0.5	0.0	0.0
tunnel	0.0	0.0	1.0
r6	0.0	0.0	1.0
shocks	0.0	0.5	0.0
pioneering	0.5	0.0	0.0
agreement	0.25	0.0	0.5
hero	0.392857142857	0.0714285714286	0.571428571429
reporter	0.0	0.0	1.0
avery	0.0	0.5	0.0
error	0.0	0.3125	1.0
jasmine	0.375	0.0	0.25
listenup	0.5	0.0	0.0
barat	0.5	0.0	0.0
