a$$	a**
a&f	always and forever
a'ight	alright
a.i.m.	aol instant messanger
a/l	age and location
a/m	away message
a/s/l	age,sex,location
a/s/l/p	age/sex/location/picture
a/s/l/r	age, sex, location, race
a1t	anyone there
a3	anyplace, anywhere, anytime
aaaaa	American Assosciation Against Acronym Abuse
aabf	as a best friend
aaf	as a friend
aak	Alive and Kicking
aamof	as a matter of fact
aatf	always and totally forever
aatw	all around the world
abd	Already Been Done
abend	absent by enforced net deprivation
abft	About f**king Time
aboot	about
abreev	abbreviation
absnt	absent
abt	about
abwt	about
acc	account
acct	account
acgaf	Absolutely couldn't give a f**k
ack	acknowledged
addy	address
adhd	Attention Deficit Hyperactivity Disorder
adl	all day long
admin	administrator
adn	any day now
aeap	as early as possible
af	assface
afaiaa	As Far As I Am Aware
afaic	as far as I'm concerned
afaicr	As Far As I Can Remember
afaics	as far as I can see
afaict	as far as I can tell
afaik	as far as I know
afair	as far as I recall
afaiu	As far as I understand
afc	away from computer
afcpmgo	away from computer parents may go on
afg	away from game
afk	away from keyboard
afkb	away from keyboard
agn	again
ah	a** hole
ahole	a**h**e
ai	Artificial Intelligence
aiadw	ALL IN A DAYS WORK
aiamu	and I'm a monkey's uncle
aicmfp	and I claim my five pounds
aight	Alright
aightz	alright
aiic	as if I care
aiid	and if I did
aiight	all right
aim	AOL instant messanger
ain't	am not
aite	Alright
aitr	Adult in the room
aiui	as I understand it
aiws	as i was saying
ajax	Asynchronous Javascript and XML
aka	also known as
 bi	bye
b&	banned
b'day	birthday
b-cuz	because
b-day	birthday
b.f.f.	best friend forever
b.s.	bulls**t
b/c	because
b/cos	because
b/g	background
b/s/l	Bisexual/Straight/Lesbian
b/t	between
b/w	between
b00n	new person
b00t	boot
b0rked	broken
b1tch	b***h
b2b	business to business
b2u	back to you
b2w	 Back to work
b3	be
b4	before
b4n	bye for now
b4u	before you
b8	bait
b82rez	Batteries
b8rez	Batteries
b@	banned
bab	Big a** Boobs
babi	baby
baf	bring a friend
baggkyko	be a good girl, keep your knickers on
bah	I don't really care
bai	Bye
bak	back
bakk	back
balz	balls
bamf	bad a** mother f**ker
bamofo	b***h a** mother f**ker
bau	back at you
bb	bye bye
bb4h	bros before hoes
bb4n	Bye-bye for now
bbbj	Bare Back Blow Job
bbe	baby
bbf	best boy friend
bbfn	Bye Bye for now
bbfs	best boyfriends
bbfu	be back for you
bbg	baby girl
bbi	Baby
bbiab	be back in a bit
bbiaf	be back in a few
bbialb	Be back in a little bit
bbiam	be back in a minute
bbias	be back in a second
bbiaw	be back in a while
bbifs	be back in a few seconds
bbilb	be back in a little bit
bbilfm	be back in like five minutes
bbim	Be Back In Minute
bbk	be back, ok?
bbl	be back later
bbl8a	Be Back Later
bblig	Be back later...i guess
bbm	BlackBerry Messenger
bbml	be back much later
bbn	be back never
bbol	be back online later
bbp	Banned by parents
bbq	be back quick
bbrs	be back really soon
bbs	be back soon
bbsts	be back some time soon
bbt	be back tomorrow
bbtn	be back tonite
bbvl	Be Back Very Later
bbw	be back whenever
bbwb	best buddy with boobs
c	see
c 2 c	cam to cam (webcams)
c&c	Command and Conquer
c'mon	Come On
c-p	sleepy
c.y.a	cover your a**
c/b	comment back
c/t	can't talk
c14n	canonicalization
c2	come to
c2c	care to chat?
c2tc	cut to the chase
c4ashg	care for a shag
c@	cat
cam	camera
cancer stick	cigarette
catwot	complete and total waste of time
cawk	c**k
cayc	call at your convenience
cb	come back
cba	can't be arsed
cbb	can't be bothered
cbf	cant be f**ked
cbfa	can't be f**king arsed
cbfed	can't be f**ked
cbi	can't believe it
ccl	Couldn't Care Less
ccna	Cisco Certified Network Associate
cd9	Code 9 (other people nearby)
celly	cell phone
cex	sex
cexy	sexy
cfas	care for a secret?
cfid	check for identification
cfm	come f**k me
cg	Congratulations
cgad	couldn't give a d**n
cgaf	couldn't give a f**k
cgf	cute guy friend
ch@	chat
champs	champions
char	character
cheezburger	cheeseburger
chik	chick
chilax	chill and relax in one word
chillax	chill and relax
chillin	relaxing
chk	check
chohw	Come Hell or high water
chr	character
chronic	marijuana
chswm	come have sex with me
chswmrn	come have sex with me right now
chu	you
chut	p***y
cid	consider it done
cig	cigarette
cigs	cigarettes
cihswu	can i have sex with you
cihyn	can i have your number
cilf	child i'd like to f**k
