l0lz	laugh out loud
l2	learn to
l2m	listening to music
l2ms	laughing to myself
l2p	learn to play
l2r	Learn to read
l337	elite
l33t	elite
l4m3rz	lamers
l8	late
l84skool	late for school
l8a	later
l8er	later
l8ers	Later
l8r	see you later
l8rs	laters
l8rz	later
l8s	later
l8t	later
l8ta	later
l8ter	later
l8tr	later
l@u	laughing at you
laff	laugh
lafs	love at first sight
lak	love and kisses
lal	laughing a little
lalol	lots and lots of laughs
lam	leave a message
lamf	like a motherf**ker
lan	local area network
lappy	Laptop
larp	live action role-play
lasb	Lame a** Stupid b***h
lat	laugh at that
lata	later
lates	later
latn	laugh at the newbs
latr	Later
latwttb	laughing all the way to the bank
lau	laugh at you
lawd	lord
lawl	lauging out loud with a southern drawl
lawl'd	laughed out loud
lawled	laughed out loud
lawls	laughing out loud with a southern drawl
lawlz	laughing out loud with a southern drawl
lazer	laser
lazor	laser
lbh	let's be honest
lbnr	laughing but not really
lbo	laughing butt off 
lbr	little boy's room
lbvs	laughing but very serious
lcsnpc	low cost small notebook personal computer
ldr	Long-distance relationship
lee7	elite
leet	elite
legit	legitimate
leik	like
leme	let me
lemme	let me
lesbo	lesbian
less than 3	love
less than three	love
lez	Lesbian
lezbean	lesbian
lezbo	lesbian
lezzzie	lesbian
lf	looking for
lf1m	Looking for one more
lf2m	looking for 2 more
lfg	Looking for group
lfl	let's f**k later
lfm	looking for mate
lfnar	laughing for no aparent reason
lfp	looking for p***y
lfr	Laughing for real
